Genre,Popularity score,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time_signature
Anime,69.26415094339623,0.5634867924528302,0.7372150943396226,5.037735849056604,-6.892830188679246,0.4528301886792453,0.08377924528301886,0.21411085471698113,0.2212520409433962,0.18300566037735846,0.46724150943396225,116.66107547169811,199748.49056603774,3.943396226415094
Blues,74.29230769230769,0.5772461538461539,0.6097384615384616,4.430769230769231,-7.5021538461538455,0.7076923076923077,0.05334615384615384,0.27952936923076926,0.03096790353846154,0.1836876923076923,0.5342461538461538,116.98155384615386,218437.0923076923,3.8923076923076922
Classical,65.4074074074074,0.30251296296296293,0.0841151851851852,4.851851851851852,-26.69198148148148,0.6481481481481481,0.04560555555555555,0.9543148148148148,0.8385675925925925,0.11344259259259258,0.15276296296296296,97.30825925925926,212543.88888888888,3.3518518518518516
Country,82.75,0.538484375,0.539203125,5.171875,-7.16815625,0.875,0.0381625,0.47938625,0.00045517609375,0.147825,0.4227828125,119.506890625,207966.359375,3.9375
Funk,78.33823529411765,0.6607941176470588,0.728735294117647,6.279411764705882,-6.923441176470588,0.6029411764705882,0.09367205882352941,0.11804237647058823,0.013711216617647057,0.1595220588235294,0.653839705882353,106.14279411764706,244806.04411764705,4.0
Hip-Hop,86.11864406779661,0.694,0.5723220338983052,5.101694915254237,-7.121101694915254,0.4406779661016949,0.13648305084745763,0.18655671186440678,0.011629873898305084,0.18741864406779662,0.392606779661017,124.28593220338983,223074.54237288135,3.847457627118644
Indie,82.95714285714286,0.5608,0.5699428571428572,5.4,-8.160400000000001,0.7571428571428571,0.04407571428571429,0.341824919,0.13754274214285714,0.15417714285714287,0.43390285714285715,113.1882,204911.94285714286,3.9285714285714284
Jazz,71.9672131147541,0.5644918032786885,0.4486245901639344,5.918032786885246,-10.406786885245902,0.6065573770491803,0.06536229508196721,0.5763918032786886,0.027700918032786882,0.15826721311475409,0.573639344262295,116.49442622950819,210514.45901639343,3.721311475409836
Latin,85.87058823529412,0.8014941176470588,0.7086705882352942,4.752941176470588,-5.107635294117647,0.3764705882352941,0.11264823529411766,0.2236065882352941,0.0006947003529411765,0.15632588235294118,0.5590117647058823,119.94858823529411,203130.61176470589,3.929411764705882
Lo-fi,72.69090909090909,0.6012363636363636,0.39597927272727274,5.4,-13.254527272727273,0.6181818181818182,0.10595272727272727,0.6149032727272727,0.34307010618181816,0.1654509090909091,0.44084545454545454,108.31987272727272,167773.56363636363,3.981818181818182
Metal,80.22058823529412,0.502,0.8568529411764706,4.764705882352941,-5.171544117647059,0.6029411764705882,0.0657779411764706,0.02799932661764706,0.03416824794117647,0.18326176470588235,0.52655,116.50483823529412,237947.17647058822,3.985294117647059
Pop,88.74647887323944,0.5938169014084507,0.5816492957746479,5.126760563380282,-7.269549295774648,0.7605633802816901,0.07650281690140845,0.266857661971831,0.006097107323943661,0.18146901408450702,0.4531394366197183,122.86135211267607,198859.52112676058,3.915492957746479
Punk,78.43939393939394,0.5333181818181818,0.8208636363636364,4.181818181818182,-4.912090909090908,0.7424242424242424,0.06277727272727272,0.023587130303030304,0.031568859242424245,0.2090257575757576,0.5868484848484848,134.31128787878788,197786.30303030304,3.984848484848485
R&B,84.87719298245614,0.6641754385964912,0.5597368421052632,5.0,-7.622754385964913,0.5964912280701754,0.094040350877193,0.2541271929824562,0.010809647192982455,0.16398070175438595,0.4395263157894737,118.25294736842105,200938.80701754385,3.8947368421052633
Reggae,85.31395348837209,0.8036627906976743,0.6982325581395349,4.395348837209302,-5.2000581395348835,0.38372093023255816,0.11771279069767443,0.22995767441860465,0.00031849325581395345,0.1636406976744186,0.5685348837209302,117.60601162790698,200461.98837209304,3.953488372093023
Rock,83.87323943661971,0.5893661971830986,0.680169014084507,4.535211267605634,-7.3841267605633805,0.7464788732394366,0.04784788732394366,0.1426382014084507,0.018464881971830986,0.14035070422535212,0.5557605633802817,122.01714084507043,228433.7323943662,3.9859154929577465
Romance,25.6,0.44394,0.332772,4.36,-12.8707,0.28,0.053694,0.8131999999999999,0.04998141279999999,0.167568,0.44795999999999997,113.12402,195987.22,3.68
Soul,79.71186440677967,0.644186440677966,0.5173016949152542,5.406779661016949,-8.440457627118645,0.6610169491525424,0.07927796610169492,0.39202372881355935,0.01270202,0.14712203389830508,0.5374898305084745,116.08167796610168,225193.74576271186,3.8983050847457625
